,molecular_weight
C04203,136.100048
C04209,176.043321
C04221,112.05243
C04225,188.032088
C04226,141.042593
C04227,153.078979
C04236,174.052823
C04237,146.057909
C04259,183.100777
C04272,134.057909
C04274,195.053158
C04281,129.042593
C04282,129.042593
C04287,160.037173
C04294,143.040485
C04309,197.992939
C04314,162.06808
C04322,113.047678
C04349,176.032088
C04350,151.063329
C04351,163.099714
C04353,151.063329
C04368,181.073893
C04371,151.996571
C04404,144.078644
C04409,185.032422
C04411,176.068473
C04431,140.010959
C04433,170.13068
C04435,152.120115
C04445,145.019749
C04446,199.071882
C04447,183.053158
C04469,187.1361
C04471,176.032088
C04480,186.016438
C04484,186.016438
C04514,162.06808
C04522,175.987636
C04535,184.073559
C04546,190.084124
C04548,167.094629
C04553,186.016438
C04558,156.042259
C04559,156.042259
C04575,192.027003
C04584,151.026943
C04592,126.06808
C04599,173.120449
C04604,197.032422
C04617,192.027003
C04634,156.042259
C04650,181.050394
C04670,158.057909
C04687,160.073559
C04706,173.971986
C04718,184.109944
C04729,173.971986
C04731,189.115364
C04744,183.075625
C04771,198.064057
C04773,183.053158
C04815,158.057909
C05003,180.063388
C05016,161.068808
C05026,151.085795
C05042,181.050394
C05052,150.052823
C05058,109.052764
C05060,109.028954
C05100,146.069142
C05123,125.998679
C05126,158.057909
C05127,125.095297
C05130,110.048013
C05133,142.037842
C05135,153.090212
C05145,103.063329
C05146,100.027277
C05147,131.058243
C05161,146.105528
C05163,194.079038
C05172,161.898502
C05281,142.037842
C05328,128.094963
C05330,135.035399
C05332,121.089149
C05335,196.9955
C05343,168.042259
C05350,180.042259
C05375,186.016438
C05377,172.05243
C05379,190.011353
C05380,180.053492
C05394,178.047738
C05405,148.037173
C05406,146.021523
C05410,178.047738
C05411,166.047738
C05412,166.047738
C05422,174.016438
C05515,170.04399
C05516,127.038176
C05519,119.058243
C05520,175.048072
C05527,151.977944
C05528,167.972859
C05529,113.944535
C05548,187.084458
C05565,172.048407
C05568,156.053492
C05571,170.014998
C05572,145.037508
C05574,147.053158
C05575,198.124252
C05576,170.057909
C05577,168.042259
C05578,149.047678
C05579,147.032028
C05580,184.037173
C05581,166.062994
C05582,182.057909
C05583,182.057909
C05584,198.052823
C05585,138.031694
C05587,167.094629
C05588,197.105193
C05589,183.089543
C05590,127.912293
C05593,152.047344
C05594,184.073559
C05598,193.073893
C05600,172.037173
C05601,190.047738
C05604,195.053158
C05607,166.062994
C05608,148.05243
C05613,136.05243
C05616,184.037173
C05618,143.997807
C05627,120.057515
C05629,150.06808
C05634,175.063329
C05635,191.058243
C05636,180.089878
C05637,161.047678
