,molecular_formula,mass
C00792,C6H14N4O2,174.111676
C00793,C3H7NO2S,121.019749
C00794,C6H14O6,182.079038
C00795,C6H12O6,180.06338799999997
C00796,C19H12O6,336.063388
C00797,C2H7N,45.057849
C00798,C22H36N7O17P3S,795.110123
C00799,C15H10O2,222.06807999999998
C00800,C6H12O7,196.058303
C00801,C5H9O4R,133.12278899999998
C00802,C3H4N2O4,132.017107
C00803,C5H10O2,102.06808000000001
C00804,C3H2O2,70.00547900000001
C00805,C7H6O3,138.031694
C00806,C11H12N2O2,204.089878
C00807,,
C00808,C10H16O,152.120115
C00809,C10H16O,152.120115
C00810,C4H8O2,88.05243
C00811,C9H8O3,164.04734399999998
C00812,HSR,33.072741
C00813,C4H4N2O3,128.022192
C00814,C16H12O5,284.068473
C00815,C5H8O5,148.037173
C00816,,
C00817,C6H12O7,196.058303
C00818,C6H10O8,210.037567
C00819,C5H10N2O3,146.069142
C00820,C4H9NO3,119.05824299999999
C00821,C10H14N5O6P(C5H8O5PR)n(C5H8O5PR)n,689.398310994
C00822,C9H9NO4,195.053158
C00823,C16H34O,242.26096600000002
C00824,,
C00825,C18H37N5O10,483.25404199999997
C00826,C10H13NO5,227.079373
C00827,C24H40N7O18P3S,839.1363380000001
C00828,C16H16O2(C5H8)n,308.41493399999996
C00829,C10H8,128.0626
C00830,C3H2O5,117.990223
C00831,C11H22N2O4S,278.130028
C00832,C23H45N5O14,615.296301
C00835,C9H11N5O3,237.08618900000002
C00836,C18H39NO2,301.29807999999997
C00837,C8H18N6O4,262.13895299999996
C00839,C4H6N2O3R2,594.084972
C00840,,
C00841,C11H6O4,202.026609
C00842,C16H26N2O16P2,564.075756
C00843,C10H18O,154.135765
C00844,C14H17NO6,295.105587
C00845,C26H38N7O18P3S,861.1206880000001
C00846,C6H8O5,160.037173
C00847,C8H9NO4,183.053158
C00848,C10H16O2,168.11503000000002
C00849,C4H8O2,88.05243
C00850,C6H6O4S,173.998679
C00852,C16H18O9,354.095082
C00853,C62H89CoN13O14P,1329.572156
C00854,C6H12O,100.088815
C00855,C5H11NO2S,149.051049
C00856,C9H14N3O7P(C5H8O5PR)n(C5H8O5PR)n,665.373569994
C00857,C21H27N6O15P2,665.100962
C00858,C16H12O4,268.073559
C00859,C19H24O6,348.157289
C00860,C6H11N3O,141.090212
C00861,C6H12O5,164.068473
C00862,C34H44N4O15,748.280317
C00863,HOR,17.007346
C00864,C9H17NO5,219.110673
C00865,C5H6O8PR3,287.01787199399996
C00868,C9H13N2O9P(C5H8O6PR)n(C5H8O6PR)n,714.356545994
