compound,formula,mass
132250,C20H18O8,386.353
132251,C20H18O7,370.353
132252,C10H12N3O7,286.219
132253,C40H44FeN4O12,828.644
1184,C6H6O5,158.10884
132255,C30H42N2O2,462.668
132256,C30H42N2O3,478.667
132257,C20H20O7,372.369
132258,C35H58N7O17P3S,973.86
1189,C19H24O3,300.39206
132259,C20H30O2,302.452
132260,C20H25O2,297.412
132261,C14H14N2O4,274.272
132262,C14H12N2O4,272.257
132263,C14H10N2O4,270.241
132264,C14H10N2O4,270.241
132265,C13H12N2O2,228.247
132266,C13H10N2O2,226.231
132268,C24H25ClFN5O2,469.94
132269,C29H48N7O17P3S,891.717
132270,C18H18N2O5S,374.413
132271,C29H46N7O17P3S,889.701
132274,C20H32O3,320.467
132275,C20H32O3,320.467
132276,C20H32O3,320.467
132277,C20H32O3,320.467
132273,C17H16ClF3O6S,440.82
132278,C26H52NO8P,537.668
132280,C26H52NO8P,537.668
132279,C10H19N,153.265
132281,C14H30,198.389
132282,C8H26O5Si4,314.631
132283,C15H32,212.415
132284,C16H35N,241.456
132285,C26H52NO8P,537.668
132286,C26H52NO8P,537.668
132288,C19H40,268.522
1217,C8H7NS2,181.278
132289,C11H18N2O3S,258.339
132290,C10H16N2O3S,244.312
132291,C6H14O3S,166.24
132292,C7H14O2,130.185
132293,C21H44,296.575
132294,C9H14NO2,168.213
1224,C13H9NO2,211.2161
